TICKER;PRECO;DY;P/L;P/VP;P/ATIVOS;MARGEM BRUTA;MARGEM EBIT;MARG. LIQUIDA;P/EBIT;EV/EBIT;DIVIDA LIQUIDA / EBIT;DIV. LIQ. / PATRI.;PSR;P/CAP. GIRO;P. AT CIR. LIQ.;LIQ. CORRENTE;ROE;ROA;ROIC;PATRIMONIO / ATIVOS;PASSIVOS / ATIVOS;GIRO ATIVOS;CAGR RECEITAS 5 ANOS;CAGR LUCROS 5 ANOS; LIQUIDEZ MEDIA DIARIA; VPA; LPA; PEG Ratio; VALOR DE MERCADO
EMAE4;32,99;2,54;22,27;1,03;0,58;33,02;-1,58;8,81;-123,79;-145,72;33,36;-0,28;1,96;2,26;-0,86;5,04;4,62;2,62;-0,97;0,57;0,43;0,30;7,20;-9,99;160.802,11;32,07;1,48;-0,35;1.763.130.044,86
EMBR3;64,02;;24,71;2,29;0,65;18,02;10,65;5,42;12,57;13,05;0,47;0,09;1,34;3,65;-1,44;1,47;9,26;2,62;7,16;0,28;0,72;0,48;27,61;;346.614.207,68;27,97;2,59;0,17;47.404.572.116,88
ENAT3;21,80;;10,29;1,29;0,46;24,54;56,10;25,34;4,65;5,12;0,47;0,13;2,61;1,31;-0,85;3,90;12,53;4,43;8,60;0,35;0,65;0,17;11,74;5,75;106.147.052,11;16,91;2,12;0,01;5.785.005.265,20
ENBR3;24,08;5,18;6,13;1,10;0,36;27,35;24,78;13,08;3,24;5,30;2,06;0,70;0,80;2,28;-0,71;1,48;18,01;5,91;14,39;0,33;0,67;0,45;2,76;11,27;;21,80;3,93;0,06;13.994.459.653,44
ENEV3;13,39;;615,94;1,28;0,49;34,72;19,42;0,37;11,70;17,83;6,11;0,67;2,27;9,46;-0,58;1,47;0,21;0,08;0,83;0,38;0,62;0,22;29,41;-41,26;96.763.675,89;10,46;0,02;-7,63;25.916.055.595,47
ENGI11;45,75;6,33;5,54;0,95;0,27;25,40;18,12;11,24;3,43;7,78;4,35;1,20;0,62;6,24;-0,35;1,23;17,11;4,91;10,22;0,29;0,71;0,44;11,12;52,77;109.898.866,26;48,36;8,28;0,06;20.975.708.762,41
ENGI3;12,24;4,74;7,39;1,27;0,36;25,40;18,12;11,24;4,59;7,78;4,35;1,20;0,83;8,33;-0,47;1,23;17,11;4,91;10,22;0,29;0,71;0,44;11,12;52,77;52.673,42;9,67;1,66;0,07;20.975.708.762,41
ENGI4;8,35;4,55;5,04;0,86;0,25;25,40;18,12;11,24;3,13;7,78;4,35;1,20;0,57;5,69;-0,32;1,23;17,11;4,91;10,22;0,29;0,71;0,44;11,12;52,77;92.770,79;9,67;1,66;0,05;20.975.708.762,41
ENJU3;1,20;;-10,36;0,77;0,59;56,01;-13,03;-9,02;-7,18;-1,37;5,75;-0,62;0,94;1,46;-1,35;3,49;-7,47;-5,67;-11,21;0,76;0,24;0,63;37,65;;1.273.673,74;1,56;-0,12;0,19;248.071.767,90
ENMA3B;50,49;;10,90;2,06;0,83;29,44;17,22;12,37;7,83;;2,74;0,72;1,35;67,84;-1,10;1,05;18,85;7,63;12,79;0,40;0,60;0,62;8,35;2,49;;24,56;4,63;-0,61;
ENMA6B;83,99;;18,14;3,42;1,38;29,44;17,22;12,37;13,02;;2,74;0,72;2,24;112,85;-1,82;1,05;18,85;7,63;12,79;0,40;0,60;0,62;8,35;2,49;;24,56;4,63;-1,02;
ENMT3;77,00;1,69;13,35;4,25;1,19;30,96;24,73;15,85;8,56;11,11;2,55;1,26;2,12;119,00;-1,59;1,04;31,81;8,93;17,21;0,28;0,72;0,56;11,58;24,21;7.297,95;18,12;5,77;1,41;16.858.529.303,00
ENMT4;77,00;1,69;13,35;4,25;1,19;30,96;24,73;15,85;8,56;11,11;2,55;1,26;2,12;119,00;-1,59;1,04;31,81;8,93;17,21;0,28;0,72;0,56;11,58;24,21;405,26;18,12;5,77;1,41;16.858.529.303,00
EPAR3;4,85;24,97;10,61;1,30;1,05;-1,90;-10,38;27,86;-28,49;-26,36;2,13;-0,10;2,96;10,20;-1,17;15,81;12,28;9,85;-18,35;0,80;0,20;0,35;-44,69;-6,83;34.909,11;3,72;0,46;-0,07;72.073.754,80
EQPA3;6,30;;6,71;3,24;0,91;32,35;25,13;19,33;5,16;6,23;1,08;0,68;1,30;17,20;-1,37;1,19;48,25;13,54;26,14;0,28;0,72;0,70;13,58;35,42;39.249,37;1,95;0,94;-3,95;13.922.287.697,80
EQPA5;7,45;;7,93;3,83;1,07;32,35;25,13;19,33;6,10;6,23;1,08;0,68;1,53;20,34;-1,62;1,19;48,25;13,54;26,14;0,28;0,72;0,70;13,58;35,42;861,05;1,95;0,94;-4,67;13.922.287.697,80
EQPA6;8,00;;8,52;4,11;1,15;32,35;25,13;19,33;6,55;6,23;1,08;0,68;1,65;21,84;-1,74;1,19;48,25;13,54;26,14;0,28;0,72;0,70;13,58;35,42;0,00;1,95;0,94;-5,02;13.922.287.697,80
EQPA7;8,25;;8,79;4,24;1,19;32,35;25,13;19,33;6,76;6,23;1,08;0,68;1,70;22,52;-1,80;1,19;48,25;13,54;26,14;0,28;0,72;0,70;13,58;35,42;173,68;1,95;0,94;-5,17;13.922.287.697,80
EQTL3;36,15;1,49;16,13;1,52;0,39;28,78;19,04;6,20;5,25;10,20;4,95;1,43;1,00;5,08;-0,52;1,46;9,41;2,42;9,93;0,26;0,74;0,39;19,27;3,08;262.942.016,58;23,84;2,24;0,45;45.339.137.713,60
ESPA3;0,80;;114,83;0,34;0,13;33,52;14,57;0,24;1,93;6,20;4,27;0,75;0,28;0,84;-0,23;1,49;0,29;0,11;7,74;0,37;0,63;0,45;9,72;-45,22;433.889,37;2,37;0,01;-1,04;289.138.452,80
ESTR3;5,00;;-1,67;-0,07;0,12;43,78;0,37;-15,71;70,66;234,33;175,92;;0,26;-0,06;-0,19;0,14;-4,38;-7,39;-0,13;-1,69;2,69;0,47;6,61;;26,32;-68,50;-3,00;-0,15;33.411.800,00
ESTR4;3,70;;-1,23;-0,05;0,09;43,78;0,37;-15,71;52,29;234,33;175,92;;0,19;-0,04;-0,14;0,14;-4,38;-7,39;-0,13;-1,69;2,69;0,47;6,61;;1.016,05;-68,50;-3,00;-0,11;33.411.800,00
ETER3;4,66;2,70;7,43;0,36;0,22;21,33;3,17;3,34;7,82;10,80;2,99;0,14;0,25;1,16;-0,37;1,86;4,81;2,97;1,68;0,62;0,38;0,89;18,91;;324.747,74;13,05;0,63;-0,11;287.261.073,75
EUCA3;15,85;4,22;7,41;0,57;0,32;32,97;13,06;6,93;3,93;4,85;1,50;0,22;0,51;2,13;-0,50;1,71;7,70;4,33;10,20;0,56;0,44;0,63;13,37;24,70;7.285,16;27,76;2,14;-0,14;1.250.795.299,36
EUCA4;12,31;5,97;5,76;0,44;0,25;32,97;13,06;6,93;3,05;4,85;1,50;0,22;0,40;1,65;-0,39;1,71;7,70;4,33;10,20;0,56;0,44;0,63;13,37;24,70;538.134,16;27,76;2,14;-0,11;1.250.795.299,36
EVEN3;5,90;15,28;28,07;0,57;0,23;26,78;4,87;1,95;11,24;15,24;3,92;0,20;0,55;0,36;-1,29;4,32;2,04;0,81;2,01;0,40;0,60;0,42;2,43;-18,79;5.913.081,16;10,35;0,21;-0,35;1.184.000.000,00
EZTC3;14,07;8,02;7,68;0,64;0,48;34,14;21,43;25,93;9,30;10,45;1,09;0,07;1,99;1,39;-0,81;6,84;8,29;6,26;4,93;0,76;0,24;0,24;14,17;7,56;24.598.960,79;22,10;1,83;0,11;3.111.526.570,24
FBMC3;0,00;;0,00;0,00;0,00;-60,76;-92,67;-101,97;0,00;-0,74;-0,67;;0,00;0,00;0,00;0,31;-24,19;-36,57;25,82;-1,51;2,51;0,36;-18,14;;;-87,48;-21,16;0,00;904.253,84
FBMC4;1,96;;-0,09;-0,02;0,03;-60,76;-92,67;-101,97;-0,10;-0,74;-0,67;;0,09;-0,04;-0,05;0,31;-24,19;-36,57;25,82;-1,51;2,51;0,36;-18,14;;;-87,48;-21,16;0,00;904.253,84
FESA3;12,62;3,79;13,61;1,33;1,02;21,07;7,69;14,64;25,92;16,09;-2,48;-0,13;1,99;4,08;-1,69;2,68;9,80;7,46;4,36;0,76;0,24;0,51;11,82;8,17;2.258,37;9,46;0,93;-0,94;3.185.638.500,00
FESA4;7,21;7,29;7,79;0,76;0,58;21,07;7,69;14,64;14,83;16,09;-2,48;-0,13;1,14;2,33;-0,97;2,68;9,80;7,46;4,36;0,76;0,24;0,51;11,82;8,17;3.641.826,53;9,46;0,93;-0,54;3.185.638.500,00
FHER3;3,62;;-0,37;-0,41;0,07;3,44;-4,47;-11,35;-0,94;-0,78;0,16;;0,04;-1,04;-0,21;0,91;-110,03;-18,67;47,11;-0,17;1,17;1,64;7,66;;65.346,58;-8,91;-9,80;-0,01;194.963.368,08
